Attribute1	Attribute2	Attribute3	Attribute4	Attribute5	Attribute6	Attribute7	Attribute8	Attribute9	Attribute10	Attribute11	Attribute12	Attribute13	Attribute14	Attribute15	Attribute16	Attribute17	Attribute18	Attribute19	Attribute20	Label	Id
A11	6	A34	A43	1169	A65	A75	4	A93	A101	4	A121	67	A143	A152	2	A173	1	A192	A201	1	10101
A12	48	A32	A43	5951	A61	A73	2	A92	A101	2	A121	22	A143	A152	1	A173	1	A191	A201	2	10102
A14	12	A34	A46	2096	A61	A74	2	A93	A101	3	A121	49	A143	A152	1	A172	2	A191	A201	1	10103
A11	42	A32	A42	7882	A61	A74	2	A93	A103	4	A122	45	A143	A153	1	A173	2	A191	A201	1	10104
A11	24	A33	A40	4870	A61	A73	3	A93	A101	4	A124	53	A143	A153	2	A173	2	A191	A201	2	10105
A14	36	A32	A46	9055	A65	A73	2	A93	A101	4	A124	35	A143	A153	1	A172	2	A192	A201	1	10106
A14	24	A32	A42	2835	A63	A75	3	A93	A101	4	A122	53	A143	A152	1	A173	1	A191	A201	1	10107
A12	36	A32	A41	6948	A61	A73	2	A93	A101	2	A123	35	A143	A151	1	A174	1	A192	A201	1	10108
A14	12	A32	A43	3059	A64	A74	2	A91	A101	4	A121	61	A143	A152	1	A172	1	A191	A201	1	10109
A12	30	A34	A40	5234	A61	A71	4	A94	A101	2	A123	28	A143	A152	2	A174	1	A191	A201	2	10110
A12	12	A32	A40	1295	A61	A72	3	A92	A101	1	A123	25	A143	A151	1	A173	1	A191	A201	2	10111
A11	48	A32	A49	4308	A61	A72	3	A92	A101	4	A122	24	A143	A151	1	A173	1	A191	A201	2	10112
A12	12	A32	A43	1567	A61	A73	1	A92	A101	1	A123	22	A143	A152	1	A173	1	A192	A201	1	10113
A11	24	A34	A40	1199	A61	A75	4	A93	A101	4	A123	60	A143	A152	2	A172	1	A191	A201	2	10114
A11	15	A32	A40	1403	A61	A73	2	A92	A101	4	A123	28	A143	A151	1	A173	1	A191	A201	1	10115
A11	24	A32	A43	1282	A62	A73	4	A92	A101	2	A123	32	A143	A152	1	A172	1	A191	A201	2	10116
A14	24	A34	A43	2424	A65	A75	4	A93	A101	4	A122	53	A143	A152	2	A173	1	A191	A201	1	10117
A11	30	A30	A49	8072	A65	A72	2	A93	A101	3	A123	25	A141	A152	3	A173	1	A191	A201	1	10118
A12	24	A32	A41	12579	A61	A75	4	A92	A101	2	A124	44	A143	A153	1	A174	1	A192	A201	2	10119
A14	24	A32	A43	3430	A63	A75	3	A93	A101	2	A123	31	A143	A152	1	A173	2	A192	A201	1	10120
A14	9	A34	A40	2134	A61	A73	4	A93	A101	4	A123	48	A143	A152	3	A173	1	A192	A201	1	10121
A11	6	A32	A43	2647	A63	A73	2	A93	A101	3	A121	44	A143	A151	1	A173	2	A191	A201	1	10122
A11	10	A34	A40	2241	A61	A72	1	A93	A101	3	A121	48	A143	A151	2	A172	2	A191	A202	1	10123
A12	12	A34	A41	1804	A62	A72	3	A93	A101	4	A122	44	A143	A152	1	A173	1	A191	A201	1	10124
A14	10	A34	A42	2069	A65	A73	2	A94	A101	1	A123	26	A143	A152	2	A173	1	A191	A202	1	10125
A11	6	A32	A42	1374	A61	A73	1	A93	A101	2	A121	36	A141	A152	1	A172	1	A192	A201	1	10126
A14	6	A30	A43	426	A61	A75	4	A94	A101	4	A123	39	A143	A152	1	A172	1	A191	A201	1	10127
A13	12	A31	A43	409	A64	A73	3	A92	A101	3	A121	42	A143	A151	2	A173	1	A191	A201	1	10128
A12	7	A32	A43	2415	A61	A73	3	A93	A103	2	A121	34	A143	A152	1	A173	1	A191	A201	1	10129
A11	60	A33	A49	6836	A61	A75	3	A93	A101	4	A124	63	A143	A152	2	A173	1	A192	A201	2	10130
A12	18	A32	A49	1913	A64	A72	3	A94	A101	3	A121	36	A141	A152	1	A173	1	A192	A201	1	10131
A11	24	A32	A42	4020	A61	A73	2	A93	A101	2	A123	27	A142	A152	1	A173	1	A191	A201	1	10132
A12	18	A32	A40	5866	A62	A73	2	A93	A101	2	A123	30	A143	A152	2	A173	1	A192	A201	1	10133
A14	12	A34	A49	1264	A65	A75	4	A93	A101	4	A124	57	A143	A151	1	A172	1	A191	A201	1	10134
A13	12	A32	A42	1474	A61	A72	4	A92	A101	1	A122	33	A141	A152	1	A174	1	A192	A201	1	10135
A12	45	A34	A43	4746	A61	A72	4	A93	A101	2	A122	25	A143	A152	2	A172	1	A191	A201	2	10136
A14	48	A34	A46	6110	A61	A73	1	A93	A101	3	A124	31	A141	A153	1	A173	1	A192	A201	1	10137
A13	18	A32	A43	2100	A61	A73	4	A93	A102	2	A121	37	A142	A152	1	A173	1	A191	A201	2	10138
A13	10	A32	A44	1225	A61	A73	2	A93	A101	2	A123	37	A143	A152	1	A173	1	A192	A201	1	10139
A12	9	A32	A43	458	A61	A73	4	A93	A101	3	A121	24	A143	A152	1	A173	1	A191	A201	1	10140
A14	30	A32	A43	2333	A63	A75	4	A93	A101	2	A123	30	A141	A152	1	A174	1	A191	A201	1	10141
A12	12	A32	A43	1158	A63	A73	3	A91	A101	1	A123	26	A143	A152	1	A173	1	A192	A201	1	10142
A12	18	A33	A45	6204	A61	A73	2	A93	A101	4	A121	44	A143	A152	1	A172	2	A192	A201	1	10143
A11	30	A34	A41	6187	A62	A74	1	A94	A101	4	A123	24	A143	A151	2	A173	1	A191	A201	1	10144
A11	48	A34	A41	6143	A61	A75	4	A92	A101	4	A124	58	A142	A153	2	A172	1	A191	A201	2	10145
A14	11	A34	A40	1393	A61	A72	4	A92	A101	4	A123	35	A143	A152	2	A174	1	A191	A201	1	10146
A14	36	A32	A43	2299	A63	A75	4	A93	A101	4	A123	39	A143	A152	1	A173	1	A191	A201	1	10147
A11	6	A32	A41	1352	A63	A71	1	A92	A101	2	A122	23	A143	A151	1	A171	1	A192	A201	1	10148
A14	11	A34	A40	7228	A61	A73	1	A93	A101	4	A122	39	A143	A152	2	A172	1	A191	A201	1	10149
A14	12	A32	A43	2073	A62	A73	4	A92	A102	2	A121	28	A143	A152	1	A173	1	A191	A201	1	10150
A12	24	A33	A42	2333	A65	A72	4	A93	A101	2	A122	29	A141	A152	1	A172	1	A191	A201	1	10151
A12	27	A33	A41	5965	A61	A75	1	A93	A101	2	A123	30	A143	A152	2	A174	1	A192	A201	1	10152
A14	12	A32	A43	1262	A61	A73	3	A93	A101	2	A123	25	A143	A152	1	A173	1	A191	A201	1	10153
A14	18	A32	A41	3378	A65	A73	2	A93	A101	1	A122	31	A143	A152	1	A173	1	A192	A201	1	10154
A12	36	A33	A40	2225	A61	A75	4	A93	A101	4	A124	57	A141	A153	2	A173	1	A192	A201	2	10155
A14	6	A31	A40	783	A65	A73	1	A93	A103	2	A121	26	A142	A152	1	A172	2	A191	A201	1	10156
A12	12	A32	A43	6468	A65	A71	2	A93	A101	1	A124	52	A143	A152	1	A174	1	A192	A201	2	10157
A14	36	A34	A43	9566	A61	A73	2	A92	A101	2	A123	31	A142	A152	2	A173	1	A191	A201	1	10158
A13	18	A32	A40	1961	A61	A75	3	A92	A101	2	A123	23	A143	A152	1	A174	1	A191	A201	1	10159
A11	36	A34	A42	6229	A61	A72	4	A92	A102	4	A124	23	A143	A151	2	A172	1	A192	A201	2	10160
A12	9	A32	A49	1391	A61	A73	2	A94	A101	1	A121	27	A141	A152	1	A173	1	A192	A201	1	10161
A12	15	A34	A43	1537	A65	A75	4	A93	A103	4	A121	50	A143	A152	2	A173	1	A192	A201	1	10162
A12	36	A30	A49	1953	A61	A75	4	A93	A101	4	A124	61	A143	A153	1	A174	1	A192	A201	2	10163
A12	48	A30	A49	14421	A61	A73	2	A93	A101	2	A123	25	A143	A152	1	A173	1	A192	A201	2	10164
A14	24	A32	A43	3181	A61	A72	4	A92	A101	4	A122	26	A143	A152	1	A173	1	A192	A201	1	10165
A14	27	A32	A45	5190	A65	A75	4	A93	A101	4	A122	48	A143	A152	4	A173	2	A192	A201	1	10166
A14	12	A32	A43	2171	A61	A72	2	A92	A101	2	A123	29	A141	A152	1	A173	1	A191	A201	1	10167
A12	12	A32	A40	1007	A64	A73	4	A94	A101	1	A121	22	A143	A152	1	A173	1	A191	A201	1	10168
A14	36	A32	A46	1819	A61	A73	4	A93	A101	4	A124	37	A142	A153	1	A173	1	A192	A201	2	10169
A14	36	A32	A43	2394	A65	A73	4	A92	A101	4	A123	25	A143	A152	1	A173	1	A191	A201	1	10170
A14	36	A32	A41	8133	A61	A73	1	A92	A101	2	A122	30	A141	A152	1	A173	1	A191	A201	1	10171
A14	7	A34	A43	730	A65	A75	4	A93	A101	2	A122	46	A143	A151	2	A172	1	A192	A201	1	10172
A11	8	A34	A410	1164	A61	A75	3	A93	A101	4	A124	51	A141	A153	2	A174	2	A192	A201	1	10173
A12	42	A34	A49	5954	A61	A74	2	A92	A101	1	A121	41	A141	A152	2	A172	1	A191	A201	1	10174
A11	36	A32	A46	1977	A65	A75	4	A93	A101	4	A124	40	A143	A152	1	A174	1	A192	A201	2	10175
A11	12	A34	A41	1526	A61	A75	4	A93	A101	4	A124	66	A143	A153	2	A174	1	A191	A201	1	10176
A11	42	A32	A43	3965	A61	A72	4	A93	A101	3	A123	34	A143	A152	1	A173	1	A191	A201	2	10177
A12	11	A33	A43	4771	A61	A74	2	A93	A101	4	A122	51	A143	A152	1	A173	1	A191	A201	1	10178
A14	54	A30	A41	9436	A65	A73	2	A93	A101	2	A122	39	A143	A152	1	A172	2	A191	A201	1	10179
A12	30	A32	A42	3832	A61	A72	2	A94	A101	1	A122	22	A143	A152	1	A173	1	A191	A201	1	10180
A14	24	A32	A43	5943	A65	A72	1	A92	A101	1	A123	44	A143	A152	2	A173	1	A192	A201	2	10181
A14	15	A32	A43	1213	A63	A75	4	A93	A101	3	A122	47	A142	A152	1	A173	1	A192	A201	1	10182
A14	18	A32	A49	1568	A62	A73	3	A92	A101	4	A122	24	A143	A151	1	A172	1	A191	A201	1	10183
A11	24	A32	A410	1755	A61	A75	4	A92	A103	4	A121	58	A143	A152	1	A172	1	A192	A201	1	10184
A11	10	A32	A43	2315	A61	A75	3	A93	A101	4	A121	52	A143	A152	1	A172	1	A191	A201	1	10185
A14	12	A34	A49	1412	A61	A73	4	A92	A103	2	A121	29	A143	A152	2	A174	1	A192	A201	1	10186
A12	18	A34	A42	1295	A61	A72	4	A92	A101	1	A122	27	A143	A152	2	A173	1	A191	A201	1	10187
A12	36	A32	A46	12612	A62	A73	1	A93	A101	4	A124	47	A143	A153	1	A173	2	A192	A201	2	10188
A11	18	A32	A40	2249	A62	A74	4	A93	A101	3	A123	30	A143	A152	1	A174	2	A192	A201	1	10189
A11	12	A30	A45	1108	A61	A74	4	A93	A101	3	A121	28	A143	A152	2	A173	1	A191	A201	2	10190
A14	12	A34	A43	618	A61	A75	4	A93	A101	4	A121	56	A143	A152	1	A173	1	A191	A201	1	10191
A11	12	A34	A41	1409	A61	A75	4	A93	A101	3	A121	54	A143	A152	1	A173	1	A191	A201	1	10192
A14	12	A34	A43	797	A65	A75	4	A92	A101	3	A122	33	A141	A152	1	A172	2	A191	A201	2	10193
A13	24	A34	A42	3617	A65	A75	4	A93	A102	4	A124	20	A143	A151	2	A173	1	A191	A201	1	10194
A12	12	A32	A40	1318	A64	A75	4	A93	A101	4	A121	54	A143	A152	1	A173	1	A192	A201	1	10195
A12	54	A30	A49	15945	A61	A72	3	A93	A101	4	A124	58	A143	A151	1	A173	1	A192	A201	2	10196
A14	12	A34	A46	2012	A65	A74	4	A92	A101	2	A123	61	A143	A152	1	A173	1	A191	A201	1	10197
A12	18	A32	A49	2622	A62	A73	4	A93	A101	4	A123	34	A143	A152	1	A173	1	A191	A201	1	10198
A12	36	A34	A43	2337	A61	A75	4	A93	A101	4	A121	36	A143	A152	1	A173	1	A191	A201	1	10199
A12	20	A33	A41	7057	A65	A74	3	A93	A101	4	A122	36	A141	A151	2	A174	2	A192	A201	1	10200
A14	24	A32	A40	1469	A62	A75	4	A94	A101	4	A121	41	A143	A151	1	A172	1	A191	A201	1	10201
A12	36	A32	A43	2323	A61	A74	4	A93	A101	4	A123	24	A143	A151	1	A173	1	A191	A201	1	10202
A14	6	A33	A43	932	A61	A73	3	A92	A101	2	A121	24	A143	A152	1	A173	1	A191	A201	1	10203
A12	9	A34	A42	1919	A61	A74	4	A93	A101	3	A123	35	A143	A151	1	A173	1	A192	A201	1	10204
A14	12	A32	A41	2445	A65	A72	2	A94	A101	4	A123	26	A143	A151	1	A173	1	A192	A201	1	10205
A12	24	A34	A410	11938	A61	A73	2	A93	A102	3	A123	39	A143	A152	2	A174	2	A192	A201	2	10206
A14	18	A31	A40	6458	A61	A75	2	A93	A101	4	A124	39	A141	A152	2	A174	2	A192	A201	2	10207
A12	12	A32	A40	6078	A61	A74	2	A93	A101	2	A123	32	A143	A152	1	A173	1	A191	A201	1	10208
A11	24	A32	A42	7721	A65	A72	1	A92	A101	2	A122	30	A143	A152	1	A173	1	A192	A202	1	10209
A12	14	A32	A49	1410	A63	A75	1	A94	A101	2	A121	35	A143	A152	1	A173	1	A192	A201	1	10210
A12	6	A33	A49	1449	A62	A75	1	A91	A101	2	A123	31	A141	A152	2	A173	2	A191	A201	1	10211
A13	15	A32	A46	392	A61	A72	4	A92	A101	4	A122	23	A143	A151	1	A173	1	A192	A201	1	10212
A12	18	A32	A40	6260	A61	A74	3	A93	A101	3	A121	28	A143	A151	1	A172	1	A191	A201	1	10213
A14	36	A34	A40	7855	A61	A73	4	A92	A101	2	A121	25	A142	A152	2	A173	1	A192	A201	2	10214
A11	12	A32	A43	1680	A63	A75	3	A94	A101	1	A121	35	A143	A152	1	A173	1	A191	A201	1	10215
A14	48	A34	A43	3578	A65	A75	4	A93	A101	1	A121	47	A143	A152	1	A173	1	A192	A201	1	10216
A11	42	A32	A43	7174	A65	A74	4	A92	A101	3	A123	30	A143	A152	1	A174	1	A192	A201	2	10217
A11	10	A34	A42	2132	A65	A72	2	A92	A102	3	A121	27	A143	A151	2	A173	1	A191	A202	1	10218
A11	33	A34	A42	4281	A63	A73	1	A92	A101	4	A123	23	A143	A152	2	A173	1	A191	A201	2	10219
A12	12	A34	A40	2366	A63	A74	3	A91	A101	3	A123	36	A143	A152	1	A174	1	A192	A201	1	10220
A11	21	A32	A43	1835	A61	A73	3	A92	A101	2	A121	25	A143	A152	2	A173	1	A192	A201	2	10221
A14	24	A34	A41	3868	A61	A75	4	A92	A101	2	A123	41	A143	A151	2	A174	1	A192	A201	1	10222
A14	12	A32	A42	1768	A61	A73	3	A93	A101	2	A121	24	A143	A151	1	A172	1	A191	A201	1	10223
A13	10	A34	A40	781	A61	A75	4	A93	A101	4	A124	63	A143	A153	2	A173	1	A192	A201	1	10224
A12	18	A32	A42	1924	A65	A72	4	A92	A101	3	A121	27	A143	A151	1	A173	1	A191	A201	2	10225
