Attribute1	Attribute2	Attribute3	Attribute4	Attribute5	Attribute6	Attribute7	Attribute8	Attribute9	Attribute10	Attribute11	Attribute12	Attribute13	Attribute14	Attribute15	Attribute16	Attribute17	Attribute18	Attribute19	Attribute20	Id
A12	18	A34	A43	1795	A61	A75	3	A92	A103	4	A121	48	A141	A151	2	A172	1	A192	A201	10902
A11	20	A34	A42	4272	A61	A75	1	A92	A101	4	A122	24	A143	A152	2	A173	1	A191	A201	10903
A14	12	A34	A43	976	A65	A75	4	A93	A101	4	A123	35	A143	A152	2	A173	1	A191	A201	10904
A12	12	A32	A40	7472	A65	A71	1	A92	A101	2	A121	24	A143	A151	1	A171	1	A191	A201	10905
A11	36	A32	A40	9271	A61	A74	2	A93	A101	1	A123	24	A143	A152	1	A173	1	A192	A201	10906
A12	6	A32	A43	590	A61	A72	3	A94	A101	3	A121	26	A143	A152	1	A172	1	A191	A202	10907
A14	12	A34	A43	930	A65	A75	4	A93	A101	4	A121	65	A143	A152	4	A173	1	A191	A201	10908
A12	42	A31	A41	9283	A61	A71	1	A93	A101	2	A124	55	A141	A153	1	A174	1	A192	A201	10909
A12	15	A30	A40	1778	A61	A72	2	A92	A101	1	A121	26	A143	A151	2	A171	1	A191	A201	10910
A12	8	A32	A49	907	A61	A72	3	A94	A101	2	A121	26	A143	A152	1	A173	1	A192	A201	10911
A12	6	A32	A43	484	A61	A74	3	A94	A103	3	A121	28	A141	A152	1	A172	1	A191	A201	10912
A11	36	A34	A41	9629	A61	A74	4	A93	A101	4	A123	24	A143	A152	2	A173	1	A192	A201	10913
A11	48	A32	A44	3051	A61	A73	3	A93	A101	4	A123	54	A143	A152	1	A173	1	A191	A201	10914
A11	48	A32	A40	3931	A61	A74	4	A93	A101	4	A124	46	A143	A153	1	A173	2	A191	A201	10915
A12	36	A33	A40	7432	A61	A73	2	A92	A101	2	A122	54	A143	A151	1	A173	1	A191	A201	10916
A14	6	A32	A44	1338	A63	A73	1	A91	A101	4	A121	62	A143	A152	1	A173	1	A191	A201	10917
A14	6	A34	A43	1554	A61	A74	1	A92	A101	2	A123	24	A143	A151	2	A173	1	A192	A201	10918
A11	36	A32	A410	15857	A61	A71	2	A91	A102	3	A123	43	A143	A152	1	A174	1	A191	A201	10919
A11	18	A32	A43	1345	A61	A73	4	A94	A101	3	A121	26	A141	A152	1	A173	1	A191	A201	10920
A14	12	A32	A40	1101	A61	A73	3	A94	A101	2	A121	27	A143	A152	2	A173	1	A192	A201	10921
A13	12	A32	A43	3016	A61	A73	3	A94	A101	1	A123	24	A143	A152	1	A173	1	A191	A201	10922
A11	36	A32	A42	2712	A61	A75	2	A93	A101	2	A122	41	A141	A152	1	A173	2	A191	A201	10923
A11	8	A34	A40	731	A61	A75	4	A93	A101	4	A121	47	A143	A152	2	A172	1	A191	A201	10924
A14	18	A34	A42	3780	A61	A72	3	A91	A101	2	A123	35	A143	A152	2	A174	1	A192	A201	10925
A11	21	A34	A40	1602	A61	A75	4	A94	A101	3	A123	30	A143	A152	2	A173	1	A192	A201	10926
A11	18	A34	A40	3966	A61	A75	1	A92	A101	4	A121	33	A141	A151	3	A173	1	A192	A201	10927
